employee_id,country,region,sector,age_group,gender,year,wellbeing_score,burnout_risk_score,weekly_work_hours,productivity_score,absenteeism_days_per_year,mental_health_support_access,remote_work_pct,salary_satisfaction,mental_health_diagnosis,presenteeism_score
EMP010025,Russia,Europe,Government,56-65,Female,2018,47.3,4.05,38.6,53.8,5.5,0,0,2.5,0,35.5
EMP010026,UAE,Middle East,Finance,36-45,Male,2015,71.3,7.54,37.7,47.4,7.7,0,0,4.1,0,69.4
EMP010027,UAE,Middle East,Transportation,46-55,Female,2015,68.5,6.0,38.7,67.0,8.8,0,0,5.0,0,49.4
EMP010028,Turkey,Middle East,Technology,46-55,Male,2023,56.4,6.12,40.6,54.0,11.1,0,82,2.3,0,54.1
EMP010029,Spain,Europe,Education,26-35,Male,2016,59.8,7.19,35.1,40.4,13.0,1,0,3.3,0,59.8
EMP010030,United Kingdom,Europe,Finance,26-35,Male,2020,61.2,8.08,48.8,48.5,8.5,1,49,2.9,0,64.4
EMP010031,China,Asia,Finance,36-45,Female,2021,44.1,6.15,47.2,46.7,8.1,1,70,3.3,0,54.9
EMP010032,Sweden,Europe,Technology,18-25,Male,2021,56.6,6.24,46.3,47.9,6.8,1,73,5.0,0,50.1
EMP010033,Egypt,Africa,Healthcare,18-25,Female,2015,57.1,5.88,40.5,50.6,6.8,1,0,2.3,0,53.2
EMP010034,Switzerland,Europe,Manufacturing,18-25,Male,2024,66.0,5.56,51.9,64.5,3.2,0,15,5.0,1,39.8
EMP010035,Germany,Europe,Agriculture,36-45,Male,2017,66.2,2.74,44.1,71.8,5.9,1,0,5.0,0,23.9
EMP010036,Brazil,South America,Healthcare,26-35,Male,2024,43.1,5.44,45.1,46.7,11.8,0,24,4.5,0,31.9
EMP010037,Sweden,Europe,Manufacturing,56-65,Female,2019,58.5,6.15,37.7,51.5,7.7,1,0,5.0,0,50.7
EMP010038,Japan,Asia,Construction,18-25,Male,2019,62.6,6.2,46.7,56.2,6.7,1,0,3.2,0,47.5
EMP010039,Netherlands,Europe,Retail,26-35,Male,2022,77.7,7.07,36.9,57.1,7.5,1,20,4.7,0,58.8
EMP010040,Kenya,Africa,Manufacturing,46-55,Female,2015,61.2,4.79,43.5,56.4,3.6,0,0,2.1,0,34.8
EMP010041,Norway,Europe,Education,46-55,Female,2020,69.5,6.92,49.1,53.4,12.7,0,38,5.0,0,60.0
EMP010042,UAE,Middle East,Healthcare,56-65,Male,2024,56.0,5.61,52.2,36.3,6.1,0,6,2.8,0,47.5
EMP010043,Saudi Arabia,Middle East,Education,26-35,Female,2022,64.2,6.43,43.6,46.2,6.7,1,32,3.1,0,50.2
EMP010044,South Africa,Africa,Government,18-25,Female,2017,55.6,4.5,35.4,61.3,10.6,0,0,2.4,0,42.4
EMP010045,Norway,Europe,Healthcare,56-65,Male,2019,70.2,8.26,42.1,55.7,11.9,1,0,5.0,0,59.9
EMP010046,Russia,Europe,Government,26-35,Male,2022,55.0,5.44,39.2,53.4,9.5,1,35,2.0,1,45.9
EMP010047,Germany,Europe,Healthcare,56-65,Male,2021,63.2,7.73,44.4,50.5,9.8,1,27,3.6,0,61.6
EMP010048,Nigeria,Africa,Healthcare,26-35,Female,2018,59.6,8.77,44.2,45.0,10.6,0,0,2.5,0,80.6
EMP010049,France,Europe,Government,18-25,Non-binary,2020,58.9,4.62,41.6,58.9,6.6,1,36,4.0,0,30.8
EMP010050,New Zealand,Oceania,Transportation,26-35,Male,2019,76.6,5.43,40.2,57.1,8.4,1,0,3.5,0,43.6
EMP010051,Sweden,Europe,Transportation,36-45,Male,2023,61.7,6.61,45.7,59.3,13.5,0,5,4.3,0,54.6
EMP010052,France,Europe,Finance,26-35,Male,2024,70.9,8.32,43.8,41.7,9.6,1,50,4.2,0,65.4
EMP010053,Brazil,South America,Government,18-25,Female,2019,52.4,4.2,37.8,64.3,8.9,1,0,3.4,0,37.7
EMP010054,Australia,Oceania,Construction,56-65,Male,2023,69.7,4.41,42.2,54.2,7.9,1,0,4.4,0,24.4
EMP010055,Australia,Oceania,Finance,46-55,Female,2022,57.0,7.4,44.1,40.1,8.9,1,51,4.3,0,62.2
EMP010056,Japan,Asia,Finance,18-25,Female,2023,63.8,7.52,43.8,49.6,8.8,0,53,4.4,0,58.2
EMP010057,South Africa,Africa,Technology,26-35,Female,2021,56.7,4.2,46.8,57.7,10.1,0,87,1.8,0,35.4
EMP010058,Saudi Arabia,Middle East,Healthcare,18-25,Female,2022,57.7,8.29,48.0,46.5,8.2,1,21,2.3,0,66.7
EMP010059,Kenya,Africa,Manufacturing,36-45,Female,2019,56.4,7.27,45.1,46.6,8.8,0,0,2.1,0,59.7
EMP010060,Kenya,Africa,Manufacturing,56-65,Female,2018,51.5,3.17,46.4,56.7,4.7,0,0,3.3,0,26.7
EMP010061,Switzerland,Europe,Retail,18-25,Male,2023,79.7,3.4,36.7,76.7,8.9,1,20,4.9,0,20.2
EMP010062,Japan,Asia,Finance,18-25,Male,2024,75.4,5.93,44.3,61.3,8.1,1,50,2.5,0,46.3
EMP010063,Sweden,Europe,Education,46-55,Female,2017,77.9,4.99,46.1,67.9,5.9,0,0,5.0,0,44.9
EMP010064,Canada,North America,Government,26-35,Female,2017,73.1,8.41,31.8,48.2,13.1,1,0,3.5,0,69.8
EMP010065,UAE,Middle East,Government,26-35,Male,2024,73.9,4.04,39.9,71.5,4.3,1,30,3.1,1,36.5
EMP010066,Kenya,Africa,Agriculture,56-65,Male,2022,47.7,3.19,38.4,54.1,8.3,0,3,3.1,0,30.9
EMP010067,Brazil,South America,Government,46-55,Non-binary,2022,57.8,5.1,36.4,50.4,8.4,0,49,3.1,0,37.2
EMP010068,Canada,North America,Construction,56-65,Female,2019,66.7,4.24,45.7,59.8,3.6,1,0,4.8,0,25.0
EMP010069,Japan,Asia,Transportation,36-45,Male,2022,73.1,6.56,42.0,54.6,9.6,1,8,3.9,0,49.6
EMP010070,Saudi Arabia,Middle East,Education,46-55,Female,2021,61.9,7.53,41.1,46.0,12.2,1,45,2.8,0,65.6
EMP010071,Germany,Europe,Technology,26-35,Female,2021,62.4,4.25,42.4,59.9,3.4,0,66,4.0,1,28.2
EMP010072,United States,North America,Education,18-25,Male,2017,78.6,5.05,33.2,60.4,4.2,1,0,5.0,0,41.9
EMP010073,Brazil,South America,Education,18-25,Male,2015,57.7,7.98,40.3,38.5,13.1,0,0,2.9,0,63.9
EMP010074,Japan,Asia,Healthcare,56-65,Male,2017,69.5,9.53,41.4,38.3,10.0,0,0,4.3,1,65.9
EMP010075,Turkey,Middle East,Agriculture,56-65,Female,2021,47.3,4.63,44.1,49.5,9.4,0,4,2.8,0,45.0
EMP010076,Turkey,Middle East,Technology,26-35,Female,2020,61.5,5.81,43.5,46.0,9.6,0,73,2.3,1,50.1
EMP010077,Italy,Europe,Manufacturing,36-45,Male,2017,56.1,4.32,40.8,55.7,9.3,0,0,3.9,0,38.2
EMP010078,India,Asia,Healthcare,18-25,Male,2016,63.7,7.98,44.9,53.6,12.0,1,0,3.7,1,68.9
EMP010079,India,Asia,Manufacturing,26-35,Male,2021,49.4,5.63,42.3,55.3,10.4,1,0,2.4,0,40.5
EMP010080,UAE,Middle East,Government,56-65,Female,2023,56.0,5.57,33.7,50.3,6.3,1,44,2.2,0,44.7
EMP010081,Egypt,Africa,Finance,26-35,Male,2018,57.5,8.19,52.4,39.1,15.7,0,0,2.5,1,65.1
EMP010082,Saudi Arabia,Middle East,Finance,36-45,Male,2018,57.6,5.69,49.0,47.5,8.8,1,0,2.5,0,51.1
EMP010083,Kenya,Africa,Finance,46-55,Male,2024,47.4,7.45,39.9,32.4,12.6,0,60,2.3,0,54.5
EMP010084,Mexico,South America,Education,56-65,Male,2016,69.5,6.96,36.1,57.6,8.2,0,0,3.1,0,55.6
EMP010085,Japan,Asia,Construction,18-25,Female,2017,57.4,3.89,48.1,57.3,8.8,1,0,4.2,0,31.3
EMP010086,Germany,Europe,Agriculture,56-65,Male,2024,62.6,5.64,39.6,63.0,11.1,1,7,3.9,0,46.1
EMP010087,Spain,Europe,Construction,36-45,Female,2020,54.6,5.52,43.3,54.5,10.3,1,8,3.1,0,44.2
EMP010088,Poland,Europe,Finance,26-35,Female,2021,74.7,6.19,44.9,58.9,5.5,0,51,3.4,0,49.0
EMP010089,Brazil,South America,Retail,18-25,Male,2017,67.5,7.3,37.7,39.4,9.6,0,0,1.4,0,59.0
EMP010090,Switzerland,Europe,Manufacturing,26-35,Female,2024,79.9,4.97,42.3,65.2,6.3,1,0,5.0,0,42.0
EMP010091,Turkey,Middle East,Construction,36-45,Female,2016,50.4,5.72,43.2,53.0,8.3,0,0,2.2,0,54.4
EMP010092,Australia,Oceania,Retail,18-25,Female,2018,60.7,4.31,35.6,60.3,5.7,1,0,3.2,0,40.2
EMP010093,Nigeria,Africa,Education,46-55,Male,2016,54.5,5.52,38.7,54.0,14.9,0,0,2.1,0,48.1
EMP010094,Singapore,Asia,Education,36-45,Female,2020,59.6,7.75,42.5,48.3,12.0,1,47,3.4,1,65.3
EMP010095,United Kingdom,Europe,Transportation,56-65,Male,2022,56.1,4.69,38.8,51.8,7.2,1,17,4.1,0,47.2
EMP010096,Nigeria,Africa,Finance,26-35,Male,2021,54.7,7.81,47.0,39.1,12.2,0,51,1.0,0,57.5
EMP010097,Mexico,South America,Retail,36-45,Female,2020,45.6,6.3,36.5,38.1,12.2,0,5,2.7,0,50.6
EMP010098,Sweden,Europe,Construction,26-35,Female,2022,66.8,5.85,49.6,55.3,11.3,1,8,5.0,1,51.6
EMP010099,Singapore,Asia,Education,26-35,Female,2015,62.3,7.84,39.9,48.9,10.9,1,0,5.0,1,64.6
EMP010100,France,Europe,Manufacturing,18-25,Female,2017,57.8,4.68,41.4,59.3,7.7,1,0,3.4,1,36.6
EMP010101,United States,North America,Healthcare,56-65,Non-binary,2018,77.3,10.0,45.4,55.1,10.2,1,0,5.0,0,73.0
EMP010102,South Africa,Africa,Transportation,46-55,Male,2018,56.7,6.12,38.2,46.0,6.4,0,0,3.5,0,54.6
EMP010103,Poland,Europe,Retail,46-55,Female,2019,50.5,8.18,37.1,32.6,11.2,0,0,2.8,0,66.6
EMP010104,Saudi Arabia,Middle East,Transportation,46-55,Male,2021,67.4,4.39,46.3,55.8,6.2,1,6,1.9,0,33.5
EMP010105,India,Asia,Finance,18-25,Male,2016,57.1,8.5,46.9,46.4,8.4,1,0,3.0,0,71.3
EMP010106,Turkey,Middle East,Manufacturing,56-65,Male,2023,60.3,5.21,38.9,61.1,8.2,1,23,3.3,0,42.7
EMP010107,Russia,Europe,Retail,26-35,Male,2016,59.5,6.12,39.6,45.8,7.0,0,0,4.0,0,51.1
EMP010108,United States,North America,Education,18-25,Female,2024,77.5,6.5,39.6,54.2,9.9,0,40,5.0,0,51.1
EMP010109,Spain,Europe,Manufacturing,18-25,Non-binary,2015,57.8,5.15,43.5,52.9,7.8,1,0,3.8,0,34.2
EMP010110,Turkey,Middle East,Manufacturing,18-25,Female,2016,49.2,6.4,41.3,41.6,7.4,0,0,3.1,0,53.7
EMP010111,UAE,Middle East,Construction,56-65,Female,2017,63.5,4.8,42.6,54.5,7.0,1,0,2.9,0,40.6
EMP010112,Mexico,South America,Technology,46-55,Female,2020,66.5,6.09,38.3,52.9,10.7,0,87,2.3,1,45.9
EMP010113,Sweden,Europe,Retail,56-65,Male,2017,64.2,5.84,33.5,49.8,7.4,1,0,4.1,0,49.3
EMP010114,Egypt,Africa,Healthcare,56-65,Female,2020,47.0,7.19,47.1,38.0,10.1,0,18,4.7,0,64.8
EMP010115,South Korea,Asia,Finance,46-55,Male,2015,67.1,7.74,43.7,54.8,10.8,1,0,4.2,0,69.4
EMP010116,Russia,Europe,Retail,56-65,Female,2016,57.5,6.02,34.8,50.1,7.8,0,0,2.1,0,51.6
EMP010117,Italy,Europe,Education,26-35,Male,2015,66.2,5.3,40.9,59.5,7.0,1,0,3.9,0,43.1
EMP010118,Japan,Asia,Agriculture,18-25,Male,2015,62.7,5.15,36.8,55.7,11.0,1,0,3.4,0,54.2
EMP010119,Canada,North America,Manufacturing,56-65,Male,2018,69.7,4.04,34.9,65.7,5.9,1,0,4.1,0,27.8
EMP010120,Russia,Europe,Transportation,18-25,Female,2016,56.4,3.51,41.7,65.0,12.5,0,0,3.7,1,31.5
EMP010121,Egypt,Africa,Technology,56-65,Female,2019,53.7,7.61,41.0,43.6,10.1,1,0,1.4,0,61.4
EMP010122,Spain,Europe,Technology,56-65,Non-binary,2023,49.1,5.65,45.0,52.3,11.0,0,72,3.3,0,45.7
EMP010123,United Kingdom,Europe,Technology,18-25,Male,2016,67.5,5.77,42.6,68.5,6.2,0,0,4.8,0,37.8
EMP010124,United Kingdom,Europe,Healthcare,56-65,Female,2021,57.7,8.43,49.6,36.4,7.1,1,27,3.6,0,71.2
EMP010125,Italy,Europe,Agriculture,18-25,Female,2022,69.1,3.18,46.4,66.1,3.4,1,8,2.6,1,18.8
EMP010126,South Korea,Asia,Transportation,26-35,Male,2021,59.0,8.2,41.6,43.4,8.6,0,33,4.6,0,66.5
EMP010127,France,Europe,Manufacturing,26-35,Male,2023,65.1,7.24,36.7,44.4,10.1,1,4,4.3,0,56.4
EMP010128,United States,North America,Construction,36-45,Female,2024,77.0,4.34,40.5,64.0,6.1,1,13,4.0,0,40.9
EMP010129,Canada,North America,Technology,36-45,Female,2020,62.7,7.51,41.1,55.3,11.7,1,76,3.7,0,64.9
EMP010130,India,Asia,Technology,26-35,Male,2023,59.5,4.59,40.9,53.2,7.3,1,60,2.1,0,33.5
EMP010131,Switzerland,Europe,Manufacturing,46-55,Male,2018,73.4,7.2,41.0,48.9,8.6,1,0,4.7,0,49.9
EMP010132,UAE,Middle East,Technology,18-25,Male,2015,62.0,3.39,38.8,67.8,7.1,1,0,3.7,0,25.7
EMP010133,Singapore,Asia,Manufacturing,26-35,Male,2024,68.9,5.13,42.8,52.9,6.0,1,0,5.0,0,47.4
EMP010134,Canada,North America,Construction,18-25,Female,2024,70.5,4.59,43.7,61.0,6.7,1,0,4.2,0,30.8
EMP010135,Japan,Asia,Agriculture,18-25,Female,2021,53.4,2.52,35.4,61.2,7.7,0,0,3.3,1,20.3
EMP010136,Italy,Europe,Government,36-45,Male,2023,65.5,5.59,40.3,54.5,8.2,1,41,4.0,0,39.5
EMP010137,Egypt,Africa,Education,46-55,Female,2024,51.1,7.4,38.1,38.5,11.2,1,51,2.0,0,66.8
EMP010138,Italy,Europe,Education,46-55,Male,2020,49.5,5.44,48.1,46.8,10.6,1,48,3.7,0,53.0
EMP010139,Australia,Oceania,Construction,36-45,Male,2016,80.2,4.58,45.0,65.5,10.0,0,0,4.1,0,31.8
EMP010140,China,Asia,Manufacturing,18-25,Male,2016,60.9,7.16,40.8,39.1,11.5,0,0,2.6,0,51.8
EMP010141,Kenya,Africa,Retail,56-65,Female,2018,50.5,5.16,31.7,49.0,8.1,0,0,2.4,0,50.8
EMP010142,Italy,Europe,Healthcare,18-25,Male,2020,74.1,7.74,49.5,48.1,7.7,0,18,4.2,0,61.5
EMP010143,Russia,Europe,Education,18-25,Female,2022,47.1,5.23,45.3,48.9,8.3,1,41,2.4,1,47.2
EMP010144,Spain,Europe,Transportation,46-55,Female,2020,67.9,3.24,42.8,69.9,4.5,1,0,3.6,0,29.7
EMP010145,Germany,Europe,Construction,18-25,Female,2015,61.8,5.61,45.8,52.4,8.6,1,0,3.3,1,48.2
EMP010146,United States,North America,Finance,26-35,Female,2017,74.8,5.79,49.3,55.3,9.6,1,0,4.6,1,46.3
EMP010147,United Kingdom,Europe,Retail,18-25,Male,2021,57.7,6.06,37.2,47.5,10.9,1,24,4.9,0,47.2
EMP010148,United States,North America,Government,18-25,Male,2021,81.1,4.1,23.9,66.1,8.7,1,35,3.2,0,36.4
EMP010149,Singapore,Asia,Finance,18-25,Female,2017,84.6,8.57,40.8,55.5,11.5,1,0,4.0,0,70.8
EMP010150,Australia,Oceania,Transportation,36-45,Non-binary,2022,71.8,3.97,48.8,63.5,8.2,1,7,5.0,0,36.1
EMP010151,Singapore,Asia,Agriculture,56-65,Female,2019,80.8,4.96,47.0,61.0,5.7,0,0,3.1,0,37.7
EMP010152,United States,North America,Education,56-65,Male,2016,89.7,5.99,44.1,72.8,10.3,0,0,4.1,0,44.2
EMP010153,Nigeria,Africa,Government,56-65,Female,2021,59.8,5.04,36.7,52.8,8.0,0,30,1.6,0,42.6
EMP010154,Germany,Europe,Education,18-25,Male,2015,65.4,7.88,49.6,44.9,13.6,1,0,4.7,0,67.1
EMP010155,Mexico,South America,Agriculture,36-45,Female,2021,66.6,4.45,37.0,55.5,7.9,0,0,1.1,0,36.7
EMP010156,Poland,Europe,Government,56-65,Male,2022,57.1,5.04,42.0,53.6,7.5,1,31,3.4,0,37.0
EMP010157,Poland,Europe,Healthcare,46-55,Male,2020,62.9,8.26,45.1,32.2,11.7,0,14,3.4,0,69.5
EMP010158,New Zealand,Oceania,Retail,26-35,Male,2024,82.1,5.78,39.0,58.5,5.8,0,17,5.0,0,46.4
EMP010159,Japan,Asia,Retail,26-35,Female,2015,74.2,6.86,31.8,60.1,8.6,1,0,3.4,0,57.2
EMP010160,Japan,Asia,Manufacturing,26-35,Male,2020,59.8,3.84,35.1,61.0,6.5,0,4,5.0,0,21.5
EMP010161,India,Asia,Government,18-25,Male,2018,56.4,5.93,35.6,47.7,9.4,1,0,1.2,1,51.1
EMP010162,Japan,Asia,Agriculture,26-35,Male,2024,68.5,5.26,41.3,61.8,8.1,1,8,3.8,0,43.1
EMP010163,Italy,Europe,Education,26-35,Male,2020,61.4,6.1,35.6,49.2,11.4,1,42,4.5,0,48.1
EMP010164,Turkey,Middle East,Finance,46-55,Female,2024,63.1,5.52,44.3,60.1,7.1,0,53,2.7,0,46.1
EMP010165,United Kingdom,Europe,Healthcare,36-45,Female,2022,53.9,4.58,47.0,63.2,7.4,1,16,3.9,0,29.9
EMP010166,Germany,Europe,Retail,36-45,Male,2021,48.5,4.77,40.3,55.9,6.8,1,4,4.7,1,46.5
EMP010167,Brazil,South America,Agriculture,56-65,Female,2024,41.4,2.85,44.6,57.5,6.5,0,0,2.8,0,23.2
EMP010168,Mexico,South America,Retail,18-25,Male,2016,69.0,8.94,40.6,45.9,7.2,0,0,2.5,0,70.2
EMP010169,Brazil,South America,Government,36-45,Female,2015,53.4,5.81,31.0,53.5,9.6,0,0,2.4,0,44.8
EMP010170,Netherlands,Europe,Retail,36-45,Female,2015,67.4,6.42,40.5,55.6,6.6,0,0,4.2,0,51.1
EMP010171,Australia,Oceania,Healthcare,26-35,Male,2022,62.6,6.2,43.4,51.0,10.8,1,12,3.1,1,45.7
EMP010172,Germany,Europe,Retail,18-25,Male,2017,62.4,9.01,40.6,43.1,4.2,1,0,3.1,1,82.9
EMP010173,Switzerland,Europe,Government,56-65,Female,2019,77.1,6.11,37.0,59.7,10.3,0,0,5.0,0,48.4
EMP010174,Norway,Europe,Healthcare,36-45,Female,2016,69.7,8.32,37.2,62.0,9.0,1,0,5.0,0,73.0
EMP010175,UAE,Middle East,Education,26-35,Female,2015,58.8,5.64,42.8,50.5,11.8,1,0,5.0,1,39.3
EMP010176,Russia,Europe,Education,56-65,Male,2018,43.3,6.43,36.6,44.0,7.5,0,0,3.8,0,52.5
EMP010177,South Africa,Africa,Technology,56-65,Male,2024,34.0,4.85,41.6,48.6,13.4,1,87,3.1,1,38.1
EMP010178,Poland,Europe,Transportation,46-55,Female,2017,64.3,5.7,46.0,49.3,4.8,1,0,2.6,0,52.8
EMP010179,India,Asia,Transportation,56-65,Female,2017,62.1,3.66,38.2,55.5,2.5,0,0,2.7,0,35.1
EMP010180,Switzerland,Europe,Technology,26-35,Female,2018,77.3,6.1,46.7,65.7,7.8,1,0,5.0,0,55.8
EMP010181,Japan,Asia,Transportation,46-55,Female,2015,58.5,4.91,48.6,56.9,10.2,0,0,3.8,0,38.0
EMP010182,UAE,Middle East,Education,36-45,Female,2017,72.5,5.95,43.3,66.3,10.1,1,0,3.1,0,50.9
EMP010183,UAE,Middle East,Education,26-35,Female,2021,59.0,6.96,42.3,47.1,9.0,1,37,4.5,0,58.9
EMP010184,Poland,Europe,Finance,56-65,Male,2018,53.2,4.54,43.6,55.6,6.3,1,0,3.7,1,27.0
EMP010185,Poland,Europe,Finance,26-35,Male,2019,52.3,6.18,44.5,46.4,6.3,0,0,2.3,0,55.9
EMP010186,Switzerland,Europe,Healthcare,36-45,Male,2018,69.7,8.88,42.0,45.5,11.0,1,0,5.0,0,64.9
EMP010187,Norway,Europe,Manufacturing,56-65,Female,2020,77.3,5.25,33.1,65.0,8.6,1,6,5.0,0,40.0
EMP010188,Argentina,South America,Technology,18-25,Male,2024,47.2,6.75,44.4,42.1,10.6,0,82,2.4,0,52.8
EMP010189,Italy,Europe,Government,56-65,Female,2017,59.3,5.25,42.0,56.0,8.4,0,0,3.6,0,46.0
EMP010190,Russia,Europe,Healthcare,56-65,Male,2021,54.0,7.05,45.2,38.7,6.9,1,30,2.3,0,49.4
EMP010191,New Zealand,Oceania,Retail,18-25,Female,2020,64.2,4.28,40.0,60.5,9.7,1,26,3.3,0,31.1
EMP010192,China,Asia,Finance,26-35,Female,2021,51.9,6.57,49.9,43.8,10.6,0,53,3.0,0,50.2
EMP010193,Netherlands,Europe,Education,36-45,Male,2022,84.9,6.01,45.0,64.7,9.5,0,26,4.7,1,57.9
EMP010194,Mexico,South America,Construction,26-35,Female,2016,51.6,5.99,36.7,41.6,10.7,0,0,2.2,0,43.9
EMP010195,United States,North America,Finance,46-55,Non-binary,2016,70.3,7.19,42.9,57.3,8.8,1,0,5.0,0,52.7
EMP010196,Argentina,South America,Education,18-25,Female,2019,62.2,7.58,36.6,47.0,8.2,1,0,3.7,0,60.4
EMP010197,Brazil,South America,Healthcare,56-65,Female,2016,53.4,9.23,41.9,36.5,12.4,1,0,1.7,0,77.8
EMP010198,Singapore,Asia,Agriculture,46-55,Male,2024,60.2,3.53,45.4,63.8,6.2,1,0,3.9,0,23.7
EMP010199,Turkey,Middle East,Transportation,36-45,Male,2017,58.3,6.54,43.4,48.4,9.9,0,0,3.1,0,51.1
EMP010200,Nigeria,Africa,Construction,46-55,Female,2015,46.9,7.25,37.3,35.1,11.7,1,0,1.6,1,62.6
EMP010201,France,Europe,Manufacturing,56-65,Male,2015,73.5,7.22,44.9,50.3,6.0,1,0,2.9,0,59.2
EMP010202,France,Europe,Government,18-25,Female,2017,59.6,4.17,46.4,59.9,6.0,1,0,2.8,0,33.9
EMP010203,Russia,Europe,Agriculture,56-65,Female,2017,53.6,5.58,39.6,60.5,8.2,0,0,2.8,0,39.8
EMP010204,Germany,Europe,Manufacturing,26-35,Female,2015,77.1,3.54,44.5,85.8,4.9,1,0,3.0,0,30.9
EMP010205,India,Asia,Education,46-55,Female,2016,63.1,5.63,43.8,55.1,6.6,1,0,3.4,0,40.1
EMP010206,Argentina,South America,Transportation,56-65,Female,2022,57.8,5.38,43.1,57.3,7.2,0,24,3.6,0,47.0
EMP010207,Japan,Asia,Finance,46-55,Female,2024,48.4,6.38,42.4,52.4,15.0,1,68,4.1,1,55.3
EMP010208,Kenya,Africa,Manufacturing,56-65,Male,2022,66.6,6.07,36.1,58.1,9.6,1,5,3.3,1,51.4
EMP010209,Saudi Arabia,Middle East,Agriculture,18-25,Female,2015,69.0,3.47,46.3,63.0,6.8,1,0,2.6,0,27.1
EMP010210,Switzerland,Europe,Education,46-55,Male,2020,56.3,6.29,38.4,50.1,9.5,0,44,4.5,0,52.5
EMP010211,Russia,Europe,Healthcare,46-55,Male,2023,50.0,7.23,41.6,45.7,7.7,0,29,3.4,0,57.4
EMP010212,Nigeria,Africa,Government,26-35,Male,2015,60.2,4.69,38.5,54.0,7.2,0,0,1.4,0,44.8
EMP010213,France,Europe,Construction,36-45,Female,2024,64.8,5.85,48.4,50.2,8.8,1,0,4.4,0,45.7
EMP010214,Brazil,South America,Agriculture,18-25,Female,2020,66.6,4.55,40.4,64.0,6.5,0,2,2.8,0,36.8
EMP010215,Sweden,Europe,Construction,36-45,Female,2016,65.9,6.87,46.7,54.5,7.3,1,0,4.3,0,46.6
EMP010216,Turkey,Middle East,Education,18-25,Female,2024,44.5,8.8,42.6,39.7,14.9,0,52,3.8,0,73.5
EMP010217,India,Asia,Finance,56-65,Male,2020,63.2,6.56,40.4,49.4,11.6,0,72,2.9,0,59.8
